id_examinee,math,history,geography,literature,civic_education,english
1000768,8.2,4.75,8.25,7.75,9,9.4
1000769,8.4,5.5,6.75,8,8.5,9.4
1000771,8.8,3.75,7.25,8.25,7.75,8.4
1000772,6.2,5.5,6.75,6.25,8.75,6.2
1000774,7.6,4.25,6.75,7,7.25,7.4
1000777,7.8,7,8.75,7.5,8.75,8.4
1000780,7.6,4.25,7.25,8,9.75,8
1000782,8.4,6.75,8,7.25,7.75,9.2
1000783,8.2,5,7.75,8,8.75,8.8
1000784,8.2,3.5,5,8.25,8,8.8
1000785,8.6,5.5,8,8.75,9.75,9.4
1000786,8,3.75,5.75,8,6,8.6
1000788,5.6,4.75,7,8.75,7.75,9
1000789,3,1.75,7,6.25,8.5,9
1000791,8,4,6.75,7,9,9.4
1000796,7.4,8.25,8,8,9.75,7.4
1000798,8,4,8,7.75,8,9.6
1000800,7.2,4.5,7.25,3.75,8.5,2.6
1000803,6.6,7.25,7.25,7.5,9.5,7
1000805,6.4,5.25,6.25,7.25,8.75,8.2
1000809,7,7.5,8.5,7.5,7.75,8.8
1000811,8.8,3.75,7.25,8,9,7.6
1000812,6.6,4.25,6.25,6.5,7,6
1000813,7.4,3.75,6,6.75,9.25,3.6
1000814,4.2,3.75,5.25,5,8,4.2
1000815,5.2,5.75,6.75,7.5,8.75,7.4
1000816,7.6,5,7.75,8.5,9.75,8.2
1000817,8.2,5.75,7,7.25,8.5,9.2
1000818,8.2,7,8.5,8.25,9.25,9.4
1000819,8.6,7,6.75,8,9.25,8.6
1000822,8,7.25,8.25,8,8,9.6
1000823,3.6,3,6.25,6.5,6.5,2
1000825,8.4,8.5,8.5,8.75,9,9.2
1000827,3,2.75,6.75,6.5,6,3.2
1000828,7.4,6.25,8.5,8,7.25,8.6
1000829,5,6,6.5,7.5,9.25,3.2
1000832,7.4,7.75,7.25,8,9,9.4
1000833,7.6,5.25,7.5,6.5,8.75,5.8
1000837,8.2,9.5,9.5,8.75,9.25,9.4
1000839,8,8.75,9,8.25,8.5,9.2
1000840,6.8,7.25,7.75,5.5,9.25,8
1000842,7.8,6.25,8.25,9.25,7.5,9
1000843,2.6,2.75,6.75,3.5,7.25,3
1000846,8,6.75,7.25,8,8.25,8.8
1000847,7.8,5,7.25,7.25,9.5,8.2
1000849,5.6,3.75,6.25,4.75,7,2.2
1000858,5.6,2.5,5.75,4.75,7.25,4
1000861,8.6,6,8.75,7.75,8.5,8.2
1000862,8.2,5.5,7.75,8,9.5,9.4
1000865,7.2,6.25,7,7,8,9.8
1000872,6.4,5,5.5,6.5,5.5,4.8
1000873,4.8,3.25,6.25,5.25,8.5,3.8
1000874,7.4,4.25,6.25,7,6.25,7
1000877,6.8,6.25,7.5,7.75,9.25,9.6
1000878,8.6,4,9.5,8,7,9.6
1000879,8.4,3.5,5.25,8.5,8.25,7.6
1000880,8.6,6.25,6,8,9,9.2
1000889,4.8,8,6.5,7.5,8,4.6
1000891,7.4,6.5,7.25,8,9.25,9.4
1000892,7.4,5,7,6,7.5,8.4
1000894,6.8,4.25,7.5,7,7,9.2
1000895,8.4,7,8.25,8.25,9.25,9.4
1000896,8,4.5,6.5,8.25,9,9.6
1000898,8.8,7,6.75,8,9.5,8
1000899,9,5,6.25,8.25,8.5,7.8
1000901,4.4,7.25,6.75,6.25,8.75,8.4
1000903,8.4,8,8.75,8.75,8.25,9.4
1000904,8.6,4,6.5,8.75,8,9
1000906,8.4,5.25,6.25,9,8.5,8.8
1000908,8.2,3.5,7.25,8.5,7.75,8.4
1000913,7.4,7.25,8.5,7.5,9.25,10
1000915,6.8,5,6.75,8,8.25,6.2
1000916,8,4.75,6.75,9.25,7,9
1000917,7.4,6,8,6.25,9.5,7.8
1000918,6,4.75,6.25,3.5,9.25,7.8
1000919,4,4.5,5.25,5.5,7.75,4.4
1000920,9,5.75,7,8.5,7.75,9.6
1000921,8,8,8.25,9,9.5,9.6
1000922,8.2,7,8,9,9.5,9.4
1000924,7.4,6.5,9.25,6.75,7,8.2
1000926,9,6.25,8,8.5,9.25,9.6
1000927,8,6.75,8.75,7.75,9.25,9.6
1000928,7.6,6,6,8,9,9.2
1000929,9,5.5,8.75,8,9,9.2
1000930,7.2,3.25,8,7.25,7,7.2
1000934,7.6,4.25,8.25,7,9.25,5.6
1000935,7.6,5.5,5.25,7.75,7.5,8.8
1000936,9,5.75,5.75,7.5,7.5,9.6
1000937,7.8,7.75,7.75,6.75,8,9
1000939,7,2.5,6.75,7.25,8.75,4.8
1000940,7.6,4,7.25,7.75,9,9
1000941,8,6,7.25,7.5,9,7.6
1000942,8.8,6,7.5,8.25,9,9.8
1000945,9,4.25,7.25,8.25,8.25,9
1000946,8.6,3.25,7.25,9,8.25,6.8
1000947,7.2,7,8.5,8,9.75,8.6
1000949,9,6,8.5,8,9,9.2
1000952,8.2,3.5,6.25,8,6.5,9.6
1000953,7.2,4.5,5.75,6.75,9,8.6
1000954,7.4,4.75,6.5,8,7.75,9
1000955,8.6,6.75,8.25,7.75,9,9.6
1000956,8,5.5,7.25,7,8.25,9.6
1000958,8.2,6,8.75,6.75,8.25,9.2
1000959,8,4.75,7.75,6.75,6.25,8
1000960,8.6,3.5,6,7.5,8.75,9.2
1000961,3.2,2.75,5.5,6.5,6,4.8
1000962,4.2,4.5,5.75,6.25,6.5,6.2
1000963,7.8,4.25,8,8,9.75,10
1000965,5.6,4.25,6.75,7.5,7.25,4.2
1000966,6.8,7,7.75,8,9.25,8.6
1000967,9,6,7.75,8,8.75,6.6
1000968,8.6,5.5,7.5,8,7.5,8.8
1000969,6.6,3.75,7.25,5.25,8,6
1000970,8,5.75,6.25,7.75,8,8.4
1000971,7.2,4,5,5.5,8.25,5.4
1000972,7,6.75,8,6.5,9,4.2
1000973,5,3.5,5.75,5.25,7.75,4.6
1000974,8.6,5.5,8,8.75,9.5,9
1000976,8.8,5.25,8,7.25,8.5,8.8
1000977,7.2,8.25,7.5,7.75,10,4
1000978,7.2,4,8,7,9.5,8.8
1000979,9,7.5,8.5,8,8.25,9.6
1000980,7.6,3,7.25,8.25,8,8
1000981,6.4,4,8,7.75,8.5,8.4
1000982,6.8,5.25,7,7.75,8.75,7.2
1000983,8,5.5,6.25,8.5,7.75,8.8
1000985,4,3.25,4.75,6.75,8,4.2
1000986,4.2,8,8.25,8,6.75,4.8
1000987,7,4.5,8,7.5,9.75,8
1000988,8.4,6.5,8,8.5,9,9.6
1000989,3.2,4.25,6.5,4.5,7.5,9.2
1000990,7.6,7.5,8,7.75,9.5,9.6
1000991,6.4,6,6.75,6.75,9.25,8.2
1000992,5.2,7.5,7.5,7.25,9.25,8
1000994,8.2,4.75,6.5,7.5,8.5,7.6
1000995,5.8,8.5,9.25,8,9,8.4
1000996,8.2,7,7,8.5,9.5,9.6
1000998,6.2,5.25,6,7,6.75,7.4
1000999,8.6,7.25,7.75,8.5,9.25,9
1001000,3.6,3.5,6.25,3.75,8.5,3.2
1001001,6.8,7.25,7.25,7.5,8,9
